,households,name,latitude,longitude,geometry,GEOID
471570220232,213,MS - City Commons,35.0560474,-90.0171656,POINT (-90.0171656 35.0560474),4715792058
471570220233,167,MS - City Commons,35.0580463,-90.0216472,POINT (-90.0216472 35.0580463),4715792058
471570220241,577,HT - Family Foundations,35.0408556,-90.0097115,POINT (-90.00971149999999 35.0408556),4715792058
471570220242,324,HT - Family Foundations,35.045402,-90.0224642,POINT (-90.0224642 35.045402),4715792058
471570220243,533,HT - Family Foundations,35.0403947,-90.0188249,POINT (-90.0188249 35.0403947),4715792058
471570221111,875,MS - City Commons,35.0326767,-90.0185452,POINT (-90.01854520000001 35.0326767),4715792058
471570221112,353,HT - Family Foundations,35.0253643,-90.0187162,POINT (-90.0187162 35.0253643),4715792058
471570221113,677,HT - Modest Income Homes,35.0274717,-90.0312589,POINT (-90.0312589 35.0274717),4715792058
471570221114,117,HT - Family Foundations,35.031303,-90.0380423,POINT (-90.0380423 35.031303),4715792058
471570221121,512,MG - Front Porches,35.0282768,-89.9934576,POINT (-89.9934576 35.0282768),4715792058
471570221122,587,MG - Front Porches,35.0283168,-89.9997393,POINT (-89.9997393 35.0283168),4715792058
471570221123,519,MS - City Commons,35.0282928,-90.0049717,POINT (-90.0049717 35.0282928),4715792058
471570221124,679,MS - City Commons,35.0280408,-90.0098314,POINT (-90.0098314 35.0280408),4715792058
471570221211,495,HT - Family Foundations,35.0141192,-90.0188353,POINT (-90.01883530000001 35.0141192),4715792058
471570221212,567,HT - Family Foundations,35.0126789,-90.0112433,POINT (-90.0112433 35.0126789),4715792058
471570221213,518,HT - Family Foundations,35.0140024,-90.0313371,POINT (-90.0313371 35.0140024),4715792058
471570221221,469,HT - Family Foundations,35.0173799,-89.9961328,POINT (-89.9961328 35.0173799),4715792248
471570221222,279,HT - Family Foundations,35.0136874,-90.0050427,POINT (-90.0050427 35.0136874),4715792248
471570221223,340,HT - Family Foundations,35.0099617,-89.9984086,POINT (-89.9984086 35.0099617),4715792248
471570221224,399,MS - Metro Fusion,35.0103005,-89.9921182,POINT (-89.99211819999999 35.0103005),4715792248
471570221301,512,HT - Family Foundations,35.000762,-89.9961713,POINT (-89.9961713 35.000762),4715792248
471570221302,460,HT - Family Foundations,35.0005031,-90.0051926,POINT (-90.0051926 35.0005031),4715792248
471570221303,429,HT - Family Foundations,35.0034505,-90.0126475,POINT (-90.0126475 35.0034505),4715792248
471570221304,267,HT - Family Foundations,35.0019179,-90.0267822,POINT (-90.0267822 35.0019179),4715792248
471570221305,390,HT - Family Foundations,34.9977701,-90.0167664,POINT (-90.01676639999999 34.9977701),4715792248
471570222101,867,HT - Family Foundations,35.0174462,-90.1190083,POINT (-90.1190083 35.0174462),4715792058
471570222102,300,HT - Modest Income Homes,35.0517062,-90.1175788,POINT (-90.1175788 35.0517062),4715792058
471570222103,391,HT - Modest Income Homes,35.0472559,-90.1007816,POINT (-90.1007816 35.0472559),4715792058
